soc_2010,title_2010,group_id
21-1012,"Educational, Guidance, School, and Vocational Counselors",157
21-1013,Marriage and Family Therapists,158
21-1014,Mental Health Counselors,159
21-1015,Rehabilitation Counselors,160
21-1019,"Counselors, All Other",161
21-1021,"Child, Family, and School Social Workers",162
21-1022,Healthcare Social Workers,163
21-1023,Mental Health and Substance Abuse Social Workers,164
21-1029,"Social Workers, All Other",165
21-1091,Health Educators,166
21-1092,Probation Officers and Correctional Treatment Specialists,167
21-1093,Social and Human Service Assistants,168
21-1094,Community Health Workers,169
21-1099,"Community and Social Service Specialists, All Other",170
21-2011,Clergy,171
21-2021,"Directors, Religious Activities and Education",172
21-2099,"Religious Workers, All Other",173
23-1011,Lawyers,174
23-1012,Judicial Law Clerks,175
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",176
23-1022,"Arbitrators, Mediators, and Conciliators",177
23-1023,"Judges, Magistrate Judges, and Magistrates",178
23-2011,Paralegals and Legal Assistants,179
23-2091,Court Reporters,274
23-2093,"Title Examiners, Abstractors, and Searchers",180
23-2099,"Legal Support Workers, All Other",181
25-1011,"Business Teachers, Postsecondary",182
25-1021,"Computer Science Teachers, Postsecondary",183
25-1022,"Mathematical Science Teachers, Postsecondary",184
25-1031,"Architecture Teachers, Postsecondary",185
25-1032,"Engineering Teachers, Postsecondary",186
25-1041,"Agricultural Sciences Teachers, Postsecondary",187
25-1042,"Biological Science Teachers, Postsecondary",188
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",189
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",190
25-1052,"Chemistry Teachers, Postsecondary",191
25-1053,"Environmental Science Teachers, Postsecondary",192
25-1054,"Physics Teachers, Postsecondary",193
25-1061,"Anthropology and Archeology Teachers, Postsecondary",194
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",195
25-1063,"Economics Teachers, Postsecondary",196
25-1064,"Geography Teachers, Postsecondary",197
25-1065,"Political Science Teachers, Postsecondary",198
25-1066,"Psychology Teachers, Postsecondary",199
25-1067,"Sociology Teachers, Postsecondary",200
25-1069,"Social Sciences Teachers, Postsecondary, All Other",201
25-1071,"Health Specialties Teachers, Postsecondary",202
25-1072,"Nursing Instructors and Teachers, Postsecondary",203
25-1081,"Education Teachers, Postsecondary",204
25-1082,"Library Science Teachers, Postsecondary",205
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",206
25-1112,"Law Teachers, Postsecondary",207
25-1113,"Social Work Teachers, Postsecondary",208
25-1121,"Art, Drama, and Music Teachers, Postsecondary",209
25-1122,"Communications Teachers, Postsecondary",210
25-1123,"English Language and Literature Teachers, Postsecondary",211
25-1124,"Foreign Language and Literature Teachers, Postsecondary",212
25-1125,"History Teachers, Postsecondary",213
25-1126,"Philosophy and Religion Teachers, Postsecondary",214
25-1191,Graduate Teaching Assistants,242
25-1192,"Home Economics Teachers, Postsecondary",215
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",216
25-1194,"Vocational Education Teachers, Postsecondary",217
25-1199,"Postsecondary Teachers, All Other",218
25-2011,"Preschool Teachers, Except Special Education",219
25-2012,"Kindergarten Teachers, Except Special Education",220
25-2021,"Elementary School Teachers, Except Special Education",221
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",222
25-2023,"Career/Technical Education Teachers, Middle School",223
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",224
25-2032,"Career/Technical Education Teachers, Secondary School",225
25-2051,"Special Education Teachers, Preschool",226
25-2052,"Special Education Teachers, Kindergarten and Elementary School (#)",227
25-2053,"Special Education Teachers, Middle School",228
25-2054,"Special Education Teachers, Secondary School",229
25-2059,"Special Education Teachers, All Other",230
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,231
25-3021,Self-Enrichment Education Teachers,232
25-3099,"Teachers and Instructors, All Other (#)",233
25-4011,Archivists,234
25-4012,Curators,235
25-4013,Museum Technicians and Conservators,236
25-4021,Librarians,237
25-4031,Library Technicians,238
25-9011,Audio-Visual and Multimedia Collections Specialists,237
25-9021,Farm and Home Management Advisors,239
25-9031,Instructional Coordinators,240
25-9041,Teacher Assistants (#),241
25-9099,"Education, Training, and Library Workers, All Other",243
27-1011,Art Directors,244
27-1012,Craft Artists,245
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",246
27-1014,Multimedia Artists and Animators,247
27-1019,"Artists and Related Workers, All Other",248
27-1021,Commercial and Industrial Designers,249
27-1022,Fashion Designers,250
27-1023,Floral Designers,251
27-1024,Graphic Designers,252
27-1025,Interior Designers,253
27-1026,Merchandise Displayers and Window Trimmers,254
27-1027,Set and Exhibit Designers,255
27-1029,"Designers, All Other",256
27-2011,Actors,257
27-2012,Producers and Directors,258
27-2021,Athletes and Sports Competitors,259
27-2022,Coaches and Scouts,260
27-2023,"Umpires, Referees, and Other Sports Officials",261
27-2031,Dancers,262
27-2032,Choreographers,263
27-2041,Music Directors and Composers,264
27-2042,Musicians and Singers,265
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other (#)",266
27-3011,Radio and Television Announcers,267
27-3012,Public Address System and Other Announcers,275
27-3021,Broadcast News Analysts,268
27-3022,Reporters and Correspondents,268
27-3031,Public Relations Specialists,269
27-3041,Editors,270
27-3042,Technical Writers,271
27-3043,Writers and Authors,272
27-3091,Interpreters and Translators,273
27-3099,"Media and Communication Workers, All Other",275
27-4011,Audio and Video Equipment Technicians,276
27-4012,Broadcast Technicians,277
27-4013,Radio Operators,463
27-4014,Sound Engineering Technicians,278
27-4021,Photographers,280
27-4031,"Camera Operators, Television, Video, and Motion Picture",281
27-4032,Film and Video Editors,282
27-4099,"Media and Communication Equipment Workers, All Other (#)",279
29-1011,Chiropractors,283
29-1021,"Dentists, General",284
29-1022,Oral and Maxillofacial Surgeons,285
29-1023,Orthodontists,286
29-1024,Prosthodontists,287
29-1029,"Dentists, All Other Specialists",288
29-1031,Dietitians and Nutritionists,289
29-1041,Optometrists,290
29-1051,Pharmacists,291
29-1061,Anesthesiologists,308
29-1062,Family and General Practitioners,310
29-1063,"Internists, General",311
29-1064,Obstetricians and Gynecologists,312
29-1065,"Pediatricians, General",313
29-1066,Psychiatrists,314
29-1067,Surgeons (#),315
29-1069,"Physicians and Surgeons, All Other (#)",309
29-1071,Physician Assistants,292
29-1081,Podiatrists,293
29-1122,Occupational Therapists,294
29-1123,Physical Therapists,295
29-1124,Radiation Therapists,296
29-1125,Recreational Therapists,297
29-1126,Respiratory Therapists,298
29-1127,Speech-Language Pathologists,299
29-1128,Exercise Physiologists,300
29-1129,"Therapists, All Other",301
29-1131,Veterinarians,302
29-1141,Registered Nurses,303
29-1151,Nurse Anesthetists,304
29-1161,Nurse Midwives,305
29-1171,Nurse Practitioners,306
29-1181,Audiologists,307
29-1199,"Health Diagnosing and Treating Practitioners, All Other (#)",316
29-2011,Medical and Clinical Laboratory Technologists,318
29-2012,Medical and Clinical Laboratory Technicians,319
29-2021,Dental Hygienists,317
29-2031,Cardiovascular Technologists and Technicians,320
29-2032,Diagnostic Medical Sonographers,321
29-2033,Nuclear Medicine Technologists,322
29-2034,Radiologic Technologists,323
29-2035,Magnetic Resonance Imaging Technologists,324
29-2041,Emergency Medical Technicians and Paramedics (#),326
29-2051,Dietetic Technicians,327
29-2052,Pharmacy Technicians,328
29-2053,Psychiatric Technicians,329
29-2054,Respiratory Therapy Technicians,325
29-2055,Surgical Technologists,330
29-2056,Veterinary Technologists and Technicians,331
29-2057,Ophthalmic Medical Technicians,332
29-2061,Licensed Practical and Licensed Vocational Nurses,333
29-2071,Medical Records and Health Information Technicians (#),334
29-2081,"Opticians, Dispensing",335
29-2091,Orthotists and Prosthetists,336
29-2092,Hearing Aid Specialists,337
29-2099,"Health Technologists and Technicians, All Other (#)",325
29-9011,Occupational Health and Safety Specialists,154
29-9012,Occupational Health and Safety Technicians,155
29-9091,Athletic Trainers,338
29-9092,Genetic Counselors,339
29-9099,"Healthcare Practitioners and Technical Workers, All Other (#)",334
31-1011,Home Health Aides,340
31-1013,Psychiatric Aides,344
31-1014,Nursing Assistants,342
31-1015,Orderlies,343
31-2011,Occupational Therapy Assistants,345
31-2012,Occupational Therapy Aides,346
31-2021,Physical Therapist Assistants,347
31-2022,Physical Therapist Aides,348
31-9011,Massage Therapists,349
31-9091,Dental Assistants,350
31-9092,Medical Assistants,351
31-9093,Medical Equipment Preparers,352
31-9094,Medical Transcriptionists,353
31-9095,Pharmacy Aides,354
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,355
31-9097,Phlebotomists,356
31-9099,"Healthcare Support Workers, All Other",357
33-1011,First-Line Supervisors of Correctional Officers,358
33-1012,First-Line Supervisors of Police and Detectives,359
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,360
33-1099,"First-Line Supervisors of Protective Service Workers, All Other (#)",361
33-2011,Firefighters,362
33-2021,Fire Inspectors and Investigators,363
33-2022,Forest Fire Inspectors and Prevention Specialists,364
33-3011,Bailiffs,365
33-3012,Correctional Officers and Jailers,366
33-3021,Detectives and Criminal Investigators,367
33-3031,Fish and Game Wardens,368
33-3041,Parking Enforcement Workers,369
33-3051,Police and Sheriff's Patrol Officers,370
33-3052,Transit and Railroad Police,371
33-9011,Animal Control Workers,372
33-9021,Private Detectives and Investigators,373
33-9031,Gaming Surveillance Officers and Gaming Investigators,374
33-9032,Security Guards,375
33-9091,Crossing Guards,376
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",377
33-9093,Transportation Security Screeners,378
33-9099,"Protective Service Workers, All Other (#)",379
35-1011,Chefs and Head Cooks,380
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,381
35-2011,"Cooks, Fast Food",382
35-2012,"Cooks, Institution and Cafeteria",383
35-2013,"Cooks, Private Household",384
35-2014,"Cooks, Restaurant",385
35-2015,"Cooks, Short Order",386
35-2019,"Cooks, All Other",387
35-2021,Food Preparation Workers,388
35-3011,Bartenders,389
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",390
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",390
35-3031,Waiters and Waitresses,391
35-3041,"Food Servers, Nonrestaurant",392
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,393
35-9021,Dishwashers,394
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",395
35-9099,"Food Preparation and Serving Related Workers, All Other",396
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,397
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",398
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",399
37-2012,Maids and Housekeeping Cleaners,400
37-2019,"Building Cleaning Workers, All Other",401
37-2021,Pest Control Workers,402
37-3011,Landscaping and Groundskeeping Workers,403
