soc_2010,title_2010,group_id
49-9094,Locksmiths and Safe Repairers,632
49-9095,Manufactured Building and Mobile Home Installers,633
49-9096,Riggers,634
49-9097,Signal and Track Switch Repairers,635
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",636
49-9099,"Installation, Maintenance, and Repair Workers, All Other",637
51-1011,First-Line Supervisors of Production and Operating Workers,638
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",639
51-2021,"Coil Winders, Tapers, and Finishers",640
51-2022,Electrical and Electronic Equipment Assemblers,641
51-2023,Electromechanical Equipment Assemblers,642
51-2031,Engine and Other Machine Assemblers,643
51-2041,Structural Metal Fabricators and Fitters,644
51-2091,Fiberglass Laminators and Fabricators,645
51-2092,Team Assemblers,647
51-2093,Timing Device Assemblers and Adjusters,646
51-2099,"Assemblers and Fabricators, All Other",648
51-3011,Bakers,649
51-3021,Butchers and Meat Cutters,650
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",651
51-3023,Slaughterers and Meat Packers,652
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",653
51-3092,Food Batchmakers,654
51-3093,Food Cooking Machine Operators and Tenders,655
51-3099,"Food Processing Workers, All Other",656
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",734
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",734
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",657
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",658
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",659
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",660
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",661
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",662
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",663
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",664
51-4041,Machinists,665
51-4051,Metal-Refining Furnace Operators and Tenders,666
51-4052,"Pourers and Casters, Metal",667
51-4061,"Model Makers, Metal and Plastic",668
51-4062,"Patternmakers, Metal and Plastic",669
51-4071,Foundry Mold and Coremakers,670
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",671
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",672
51-4111,Tool and Die Makers,673
51-4121,"Welders, Cutters, Solderers, and Brazers",674
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",675
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",676
51-4192,"Layout Workers, Metal and Plastic",677
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",678
51-4194,"Tool Grinders, Filers, and Sharpeners",679
51-4199,"Metal Workers and Plastic Workers, All Other",680
51-5111,Prepress Technicians and Workers,681
51-5112,Printing Press Operators,682
51-5113,Print Binding and Finishing Workers,683
51-6011,Laundry and Dry-Cleaning Workers,684
51-6021,"Pressers, Textile, Garment, and Related Materials",685
51-6031,Sewing Machine Operators,686
51-6041,Shoe and Leather Workers and Repairers,687
51-6042,Shoe Machine Operators and Tenders,688
51-6051,"Sewers, Hand",689
51-6052,"Tailors, Dressmakers, and Custom Sewers",690
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,691
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",692
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",693
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",694
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",695
51-6092,Fabric and Apparel Patternmakers,696
51-6093,Upholsterers,697
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",698
51-7011,Cabinetmakers and Bench Carpenters,699
51-7021,Furniture Finishers,700
51-7031,"Model Makers, Wood",701
51-7032,"Patternmakers, Wood",702
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",703
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",704
51-7099,"Woodworkers, All Other",705
51-8011,Nuclear Power Reactor Operators,706
51-8012,Power Distributors and Dispatchers,707
51-8013,Power Plant Operators,708
51-8021,Stationary Engineers and Boiler Operators,709
51-8031,Water and Wastewater Treatment Plant and System Operators,710
51-8091,Chemical Plant and System Operators,711
51-8092,Gas Plant Operators,712
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",713
51-8099,"Plant and System Operators, All Other",714
51-9011,Chemical Equipment Operators and Tenders,715
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",716
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",717
51-9022,"Grinding and Polishing Workers, Hand",718
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",719
51-9031,"Cutters and Trimmers, Hand",720
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",721
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",722
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",723
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",724
51-9071,Jewelers and Precious Stone and Metal Workers,725
51-9081,Dental Laboratory Technicians,726
51-9082,Medical Appliance Technicians,727
51-9083,Ophthalmic Laboratory Technicians,728
51-9111,Packaging and Filling Machine Operators and Tenders,729
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",731
51-9122,"Painters, Transportation Equipment",731
51-9123,"Painting, Coating, and Decorating Workers",730
51-9141,Semiconductor Processors,732
51-9151,Photographic Process Workers and Processing Machine Operators,733
51-9191,Adhesive Bonding Machine Operators and Tenders,735
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",736
51-9193,Cooling and Freezing Equipment Operators and Tenders,737
51-9194,Etchers and Engravers,738
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",739
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",740
51-9197,Tire Builders,741
51-9198,Helpers--Production Workers,742
51-9199,"Production Workers, All Other (#)",734
53-1011,Aircraft Cargo Handling Supervisors,743
53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",744
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators (#),408
53-2011,"Airline Pilots, Copilots, and Flight Engineers",745
53-2012,Commercial Pilots,746
53-2021,Air Traffic Controllers,747
53-2022,Airfield Operations Specialists,748
53-2031,Flight Attendants,749
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",750
53-3021,"Bus Drivers, Transit and Intercity",755
53-3022,"Bus Drivers, School or Special Client (#)",754
53-3031,Driver/Sales Workers,751
53-3032,Heavy and Tractor-Trailer Truck Drivers,752
53-3033,Light Truck or Delivery Services Drivers,753
53-3041,Taxi Drivers and Chauffeurs (#),754
53-3099,"Motor Vehicle Operators, All Other",756
53-4011,Locomotive Engineers,757
53-4012,Locomotive Firers,759
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",758
53-4021,"Railroad Brake, Signal, and Switch Operators",759
53-4031,Railroad Conductors and Yardmasters,760
53-4041,Subway and Streetcar Operators,761
53-4099,"Rail Transportation Workers, All Other",762
53-5011,Sailors and Marine Oilers,763
53-5021,"Captains, Mates, and Pilots of Water Vessels",764
53-5022,Motorboat Operators,765
53-5031,Ship Engineers,766
53-6011,Bridge and Lock Tenders,767
53-6021,Parking Lot Attendants,768
53-6031,Automotive and Watercraft Service Attendants,769
53-6041,Traffic Technicians,771
53-6051,Transportation Inspectors,772
53-6061,"Transportation Attendants, Except Flight Attendants",773
53-6099,"Transportation Workers, All Other (#)",770
53-7011,Conveyor Operators and Tenders,774
53-7021,Crane and Tower Operators,775
53-7031,Dredge Operators,776
53-7032,Excavating and Loading Machine and Dragline Operators (#),578
53-7033,"Loading Machine Operators, Underground Mining",582
53-7041,Hoist and Winch Operators,777
53-7051,Industrial Truck and Tractor Operators,778
53-7061,Cleaners of Vehicles and Equipment,779
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",780
53-7063,Machine Feeders and Offbearers,781
53-7064,"Packers and Packagers, Hand",782
53-7071,Gas Compressor and Gas Pumping Station Operators,784
53-7072,"Pump Operators, Except Wellhead Pumpers",785
53-7073,Wellhead Pumpers,786
53-7081,Refuse and Recyclable Material Collectors,787
53-7111,Mine Shuttle Car Operators,582
53-7121,"Tank Car, Truck, and Ship Loaders",788
53-7199,"Material Moving Workers, All Other",578
55-1011,Air Crew Officers,789
55-1012,Aircraft Launch and Recovery Officers,790
55-1013,Armored Assault Vehicle Officers,791
55-1014,Artillery and Missile Officers,792
55-1015,Command and Control Center Officers,793
55-1016,Infantry Officers,794
55-1017,Special Forces Officers,795
55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",796
55-2011,First-Line Supervisors of Air Crew Members,797
55-2012,First-Line Supervisors of Weapons Specialists/Crew Members,798
55-2013,First-Line Supervisors of All Other Tactical Operations Specialists,799
55-3011,Air Crew Members,800
55-3012,Aircraft Launch and Recovery Specialists,801
55-3013,Armored Assault Vehicle Crew Members,802
55-3014,Artillery and Missile Crew Members,803
55-3015,Command and Control Center Specialists,804
55-3016,Infantry,805
55-3017,Radar and Sonar Technicians,110
55-3018,Special Forces,806
55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",807
