weight_column,basis,n,missing,zero_count,mean,std,min,p25,median,p75,max
occupation_weight_within_iwa_task_count,Distinct task count,15285,0,0,0.021720641151455677,0.0338528532763676,0.001876172607879925,0.007246376811594203,0.012987012987012988,0.023529411764705882,1.0
occupation_weight_within_iwa_task_dwa_links,Task-DWA edge count,15285,0,0,0.021720641151455677,0.03394593488251767,0.0018281535648994515,0.0070921985815602835,0.013157894736842105,0.023529411764705882,1.0
occupation_weight_within_iwa_dwa_count,Distinct DWA count,15285,0,0,0.021720641151455677,0.028300023205452364,0.002197802197802198,0.008264462809917356,0.014925373134328358,0.024390243902439025,1.0
occupation_weight_within_iwa_core_task_count,Core task count,15279,6,3566,0.02159827213822894,0.039586198432366805,0.0,0.002398081534772182,0.012195121951219513,0.025,1.0
occupation_weight_within_iwa_classified_task_count,Classified task count,15285,0,659,0.021720641151455677,0.034873356337595536,0.0,0.00684931506849315,0.012987012987012988,0.023809523809523808,1.0
