platform,platform_label,net_column,nonzero_only,weight_column,winsor_lower_quantile,winsor_upper_quantile,winsor_lower_value,winsor_upper_value,n,pearson,spearman,pearson_unweighted,spearman_unweighted,mean_net,median_net,n_positive,n_negative,n_zero
1p_api,API,net_emp_pc_1p_api_count_pc_winsorized,False,oews_tot_emp_imputed,0.01,0.99,-6.860543029686655e-05,0.7694687267493382,761,0.21161343657934342,0.4230456546425944,0.07477733141450954,0.3394291340658459,0.028721051984657568,0.0010738255033557,495,10,256
claude_ai,Claude.ai,net_emp_pc_claude_ai_count_pc_winsorized,False,oews_tot_emp_imputed,0.01,0.99,-0.24300795596997296,0.11014868948504469,761,-0.012760664236179897,-0.3160607396185721,-0.13322825003972139,-0.3115993596365191,-0.00786547167062627,0.0,187,323,251
total,Total,net_emp_pc_total_count_pc_winsorized,False,oews_tot_emp_imputed,0.01,0.99,-0.1693780791412902,0.6644962923408083,761,0.1827168838670602,0.12116680938347159,0.0049481284988826995,-0.04214724993782406,0.017687506245216363,1.5330186818599684e-05,383,172,206
1p_api,API,net_emp_pc_1p_api_count_pc_winsorized,True,oews_tot_emp_imputed,0.01,0.99,-6.860543029686655e-05,0.7694687267493382,505,0.19959125015068938,0.37909780651235725,0.0373787279297956,0.21379955422168975,0.04328063477291962,0.0045913188847095,495,10,0
claude_ai,Claude.ai,net_emp_pc_claude_ai_count_pc_winsorized,True,oews_tot_emp_imputed,0.01,0.99,-0.24300795596997296,0.11014868948504469,510,-0.009405946048748075,-0.32350380819077934,-0.12912918435518594,-0.3473281728039141,-0.01173651753205214,-0.0004190130929769499,187,323,0
total,Total,net_emp_pc_total_count_pc_winsorized,True,oews_tot_emp_imputed,0.01,0.99,-0.1693780791412902,0.6644962923408083,555,0.1785660196647753,0.13779230229816236,-0.019975222924681988,-0.10648375720765513,0.024252598653350724,0.0013920268202026,383,172,0
